a, b
-26.5, -10.5
-24.5, -11.5
-24.5, -13.5
-24.5, -16.5
12.5, 10.5
16.5, 9.5
-15.5, 9.5
-17.5, 6.5
-32.5, 5.5
-31.5, 2.5
-29.5, 8.5
-31.5, 8.5
-0.5, 23.5
-3.5, 22.5
22.5, -1.5
23.5, -2.5
19.5, 13.5
15.5, 11.5
14.5, -19.5
13.5, -19.5
0.5, 19.5
1.5, 19.5
15.5, -11.5
14.5, -12.5
-29.5, 7.5
-31.5, 6.5
3.5, -31.5
7.5, -30.5
-4.5, 26.5
-3.5, 26.5
-22.5, 13.5
-24.5, 13.5
-28.5, -6.5
-28.5, -5.5
-26.5, 2.5
-26.5, 6.5
-9.5, -16.5
-11.5, -19.5
-20.5, 6.5
-21.5, 4.5
