d, c
12, 1000
13, 1000
14, 997
15, 985
16, 961
17, 941
18, 829
19, 734
20, 620
21, 557
22, 509
23, 397
24, 363
25, 349
26, 295
27, 210
28, 169
29, 151
30, 94
31, 17
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
