d, c
12, 1000
13, 1000
14, 999
15, 984
16, 969
17, 942
18, 845
19, 658
20, 492
21, 356
22, 302
23, 203
24, 144
25, 136
26, 107
27, 65
28, 34
29, 31
30, 15
31, 5
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
